"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Can You Feel It? (Original Version)","Mr Fingers","8:24:22 PM","8:24:32 PM","00:00:10","2","","Can You Feel It? (Original Version)","115","Am","","Other"
"She Wants To Move (Radio Edit)","N.E.R.D.","8:24:32 PM","8:26:34 PM","00:02:02","2","","She Wants To Move (Radio Edit)","115","2m","","Other"
"Big Time (DJ Edit)","Peter Gabriel","8:25:23 PM","8:29:08 PM","00:03:45","1","","Big Time (DJ Edit)","115","G#m","1986","80s"
"Baby Love (Dance Mix)","Regina","8:26:34 PM","8:26:49 PM","00:00:15","2","","Baby Love (Dance Mix)","115","Am","","Other"
"Baby Love (Dance Mix)","Regina","8:26:49 PM","8:30:34 PM","00:03:45","2","","Baby Love (Dance Mix)","115","Am","","Other"
"Mary Mary (RR Mixshow Edit)","Run DMC","8:29:08 PM","8:32:39 PM","00:03:31","1","","Mary Mary (RR Mixshow Edit)","115","Bbm","2010","Hip-Hop"
"Drinkee","Sofi Tukker","8:30:34 PM","8:33:26 PM","00:02:52","2","","Drinkee","115","Am","2015","Dance"
"Snoop Dogg - Let's Get Blown (Illo & THUGLI Remix)","THUGLI","8:32:39 PM","8:37:06 PM","00:04:27","1","","Snoop Dogg - Let's Get Blown (Illo & THUGLI Remix)","115","Ebm","2020",""
"No Bammer Beats in the SFC","Trackademicks","8:33:26 PM","8:34:13 PM","00:00:47","2","","No Bammer Beats in the SFC","115","Am","2019",""
"All About U - LBMR Remix (Dirty)","2Pac ft. Nate Dogg & Snoop Dogg","8:34:13 PM","8:35:51 PM","00:01:38","2","","All About U - LBMR Remix (Dirty)","116","G","2021","House"
"tadow flip","austin marc","8:35:51 PM","8:36:16 PM","00:00:25","2","","tadow flip","116","Abm","2020",""
"tadow flip","austin marc","8:36:16 PM","8:37:47 PM","00:01:31","2","","tadow flip","116","Abm","2020",""
"Mainline (Original Mix) (Overstreet Edit) Clean CK Cut","Black Ivory","8:37:06 PM","8:38:46 PM","00:01:40","1","","Mainline (Original Mix) (Overstreet Edit) Clean CK Cut","116","C#m","","Disco"
"All Night Holiday (Nick Bike Edit)","Chance The Rapper","8:37:47 PM","8:40:45 PM","00:02:58","2","","All Night Holiday (Nick Bike Edit)","116","G","","Other"
"A Lover's Holiday (Intro Clean)","Change","8:38:46 PM","8:42:03 PM","00:03:17","1","","A Lover's Holiday (Intro Clean)","116","C#m","","Disco"
"Saturday Love (MCB Edit)","Cherrelle (feat Alexander O'Neal)","8:40:45 PM","8:43:39 PM","00:02:54","2","","Saturday Love (MCB Edit)","116","Ebm","","Other"
"Get Lucky (Radio Edit)","Daft Punk (f/Pharrell Williams)","8:42:03 PM","8:44:26 PM","00:02:23","1","","Get Lucky (Radio Edit)","116","Bm","","Dance"
"ROBOT ROCK x OH YEAH (NICK BIKE EDIT)","DAFT PUNK","8:43:56 PM","8:45:22 PM","00:01:26","2","","ROBOT ROCK x OH YEAH (NICK BIKE EDIT)","116","Cm","",""
"Moonlight (Extended Mix)","Disclosure","8:44:26 PM","8:48:00 PM","00:03:34","1","","Moonlight (Extended Mix)","116","Ebm","2018-08-20","Deep House"
