"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Make The World Go Round (Deep Dish MCB Edit)","Sandy B","8:09:06 PM","8:15:17 PM","00:06:11","1","","Make The World Go Round (Deep Dish MCB Edit)","122","Gm","","Other"
"A Bit Patchy VIP","Sammy Porter","8:11:28 PM","8:16:57 PM","00:05:29","2","","A Bit Patchy VIP","122","Bm","",""
"Benadryl (Henri Remix)","Sofi Tukker","8:15:17 PM","8:19:27 PM","00:04:10","1","","Benadryl (Henri Remix)","122","Am","2019","Dance"
"Hey Sunshine - Antonio Giacca Remix","Sugarstarr ft. Alexander","8:16:57 PM","8:21:56 PM","00:04:59","2","","Hey Sunshine - Antonio Giacca Remix","122","Bbm","",""
"It Just Won't Do (DJ Dark & MD DJ Remix)","Tim Deluxe","8:19:30 PM","8:24:45 PM","00:05:15","1","","It Just Won't Do (DJ Dark & MD DJ Remix)","122","Cm","2017","Other"
"Move Your Body (Elevation) (Original Version)","Xpansions","8:21:56 PM","8:26:52 PM","00:04:56","2","","Move Your Body (Elevation) (Original Version)","122","Am","","Other"
"Milfs (DJ Slique Intro Edit)","69 Boyz","8:24:45 PM","7:20:47 PM","22:56:02","1","","Milfs (DJ Slique Intro Edit)","123","Gm","2020","Bass"
"Trampoline (Original Version)","Will K (feat Amy Miyu)","8:26:52 PM","7:19:27 PM","22:52:35","2","","Trampoline (Original Version)","125","Fm","2019","Dance"
"Beautiful Lies (DJcity Intro - Clean)","Yung Bleu & Kehlani","7:19:27 PM","7:19:39 PM","00:00:12","2","","Beautiful Lies (DJcity Intro - Clean)","85","Ebm","2021","R&B"
"Bubbly (DJcity Intro - Clean)","Young Thug ft. Drake & Travis Scott","7:19:39 PM","7:19:46 PM","00:00:07","2","","Bubbly (DJcity Intro - Clean)","65","C#m","2021","Hip Hop"
"Poke It Out (XMiX Remix) (No Hype Edit) (Dirty)","Wale feat. J. Cole x Q-Tip","7:19:46 PM","7:22:26 PM","00:02:40","2","","Poke It Out (XMiX Remix) (No Hype Edit) (Dirty)","99","C#m","2021","Urban"
"Get Your Walk on (LNRP Mixshow Edit) (Clean)","Xzibit","7:21:18 PM","7:23:47 PM","00:02:29","1","","Get Your Walk on (LNRP Mixshow Edit) (Clean)","98","Fm","2001","Rap"
"Dont Stop the Music (MM Redrum Edit)","Yarbrough & Peoples","7:22:29 PM","7:26:28 PM","00:03:59","2","","Dont Stop the Music (MM Redrum Edit)","98","Ebm","1980","80s RnB Funk Boogie #TWOSTEP"
"RNP (Intro Clean)","YBN Cordae ft Anderson .Paak","7:23:47 PM","7:27:20 PM","00:03:33","1","","RNP (Intro Clean)","98","Am","2019","Hip Hop"
"The London (Intro - Clean)","Young Thug ft. J. Cole & Travis Scott","7:26:44 PM","7:28:50 PM","00:02:06","2","","The London (Intro - Clean)","98","Bm","2019","Hip Hop"
"Brent Faiyaz feat. Drake - Wasting Time - Dj Mike D (Mixshow)","","7:27:20 PM","7:32:14 PM","00:04:54","1","","Brent Faiyaz feat. Drake - Wasting Time - Dj Mike D (Mixshow)","98","C","",""
"Can't Go For That (LP Verison)","2 Chainz (feat Ty Dolla $ & Lil Duval)","7:28:50 PM","7:34:30 PM","00:05:40","2","","Can't Go For That (LP Verison)","99","Dm","2020","Hip-Hop/Rap"
"2 Pac ft. Snoop Dogg - 2 Of Amerikas Most Wanted (DMS Edit)","2 Pac ft. Snoop","7:33:31 PM","7:36:11 PM","00:02:40","1","","2 Pac ft. Snoop Dogg - 2 Of Amerikas Most Wanted (DMS Edit)","99","Ebm","","Hip-Hop"
"Disco Inferno (DJ Bizzon Blueberry Faygo Bootleg) CLEAN","50 Cent","7:34:30 PM","7:36:26 PM","00:01:56","2","","Disco Inferno (DJ Bizzon Blueberry Faygo Bootleg) CLEAN","99","F","",""
"Disco Inferno (DJ Bizzon Blueberry Faygo Bootleg) CLEAN","50 Cent","7:36:11 PM","7:37:13 PM","00:01:02","1","","Disco Inferno (DJ Bizzon Blueberry Faygo Bootleg) CLEAN","99","F","",""
"Body Movin' (LP Version)","Beastie Boys","7:36:26 PM","7:38:19 PM","00:01:53","2","","Body Movin' (LP Version)","99","Bbm","1998","Rap"
"Body Movin' (LP Version)","Beastie Boys","7:37:13 PM","7:40:18 PM","00:03:05","1","","Body Movin' (LP Version)","99","Bbm","1998","Rap"
"P#ssy Talk Remix (DJcity Intro - Dirty)","City Girls, Quavo & Lil Wayne ft. Jack Harlow","7:38:19 PM","7:41:53 PM","00:03:34","2","","P#ssy Talk Remix (DJcity Intro - Dirty)","99","Dbm","2020","Hip Hop"
